W3ID ,Target URL,Comment,Implementation,,,,,,,,,,,,,,,,,,,,
w3id.org/rml,https://kg-construct.github.io/rml-resources/ontology.ttl,Ontology file + prefix for all modules,"Return the complete ontology, composed automatically from all modules",,,,,,,,,,,,,,,,,,,,
w3id.org/rml/bc,https://kg-construct.github.io/rml-resources/backwards-compatibility.ttl,Backwards compatibility ontology,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/portal/?(.*),https://kg-construct.github.io/rml-resources/portal/$1,Portal,Redirect to the RML portal and handle all files passed to it,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/shapes,https://kg-construct.github.io/rml-resources/shapes.ttl,Shapes,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/resources,https://kg-construct.github.io/rml-resources/resources,Web resources needed for mappings,"Simple hosting of JSON, XML, CSV, etc. files for examples and test case mappings",,,,,,,,,,,,,,,,,,,,
STAR,,,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/star,https://kg-construct.github.io/rml-star/ontology/documentation/index-en.html,Star ontology documentation,"Redirect to the ontology documentation of RML Star if HTML, return ontology of RML Star if Turtle",,,,,,,,,,,,,,,,,,,,
w3id.org/rml/star/spec,https://kg-construct.github.io/rml-star/spec/docs,Star spec,Redirect to the human readable spec of RML Star,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/star/shapes,https://kg-construct.github.io/rml-star/shapes/star.ttl,Star SHACL shapes,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/quotedTriplesMap,https://kg-construct.github.io/rml-star/ontology/documentation/index-en.html#http://w3id.org/rml/quotedTriplesMap,Property quotedTriplesMap,Redirect to the ontology documentation of the RML Star specification with the fragment matching StarMap.,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/StarMap,https://kg-construct.github.io/rml-star/ontology/documentation/index-en.html#http://w3id.org/rml/StarMap,Resource StarMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/NonAssertedTriplesMap,https://kg-construct.github.io/rml-star/ontology/documentation/index-en.html#http://w3id.org/rml/NonAssertedTriplesMap,Resource NonAssertedTriplesMap,,,,,,,,,,,,,,,,,,,,,
CORE,,,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/core,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html,Core ontology documentation,"Redirect to the ontology documentation for RML Core if HTML, return ontology of RML Core if Turtle",,,,,,,,,,,,,,,,,,,,
w3id.org/rml/core/bc,https://kg-construct.github.io/rml-core/ontology/rml-core-bc.ttl,Backwards compatibility ontology,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/core/spec,https://kg-construct.github.io/rml-core/spec/docs,Core spec,Redirect to the human readable spec of RML Core,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/core/shapes,https://kg-construct.github.io/rml-core/shapes/core.ttl,Core SHACL shapes,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/logicalSource,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/logicalSource,Property logicalSource,Redirect to the ontology documentation of the RML Core specification with the fragment matching the resource requested.,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/logicalTarget,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/logicalTarget,Property logicalTarget,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/subjectMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/subjectMap,Property subjectMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/predicateObjectMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/predicateObjectMap,Property predicateObjectMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/graphMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/graphMap,Property graphMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/class,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/class,Property class,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/predicateMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/predicateMap,Property predicateMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/objectMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/objectMap,Property objectMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/parentTriplesMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/parentTriplesMap,Property parentTriplesMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/joinCondition,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/joinCondition,Property joinCondition,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/parent,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/parent,Property parent,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/child,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/child,Property child,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/datatypeMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/datatypeMap,Property datatypeMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/languageMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/languageMap,Property languageMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/termType,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/termType,Property termType,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/template,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/template,Property template,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/reference,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/reference,Property reference,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/constant,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/constant,Property constant,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/strategy,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/strategy,Property strategy,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/TriplesMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/TriplesMap,Resource TriplesMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/SubjectMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/SubjectMap,Resource SubjectMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/PredicateObjectMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/PredicateObjectMap,Resource PredicateObjectMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/PredicateMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/PredicateMap,Resource PredicateMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/ObjectMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/ObjectMap,Resource ObjectMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/RefObjectMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/RefObjectMap,Resource RefObjectMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/Join,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/Join,Resource Join,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/LanguageMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/LanguageMap,Resource LanguageMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/GraphMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/GraphMap,Resource GraphMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/Strategy,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/Strategy,Resource Strategy,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/append,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/append,Individual append,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/cartessianProduct,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/cartessianProduct,Individual cartessianProduct,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/DatatypeMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/DatatypeMap,Resource DatatypeMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/ParentMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/ParentMap,Resource ParentMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/ChildMap,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/ChildMap,Resource ChildMap,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/IRI,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/IRI,Individual IRI,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/Literal,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/Literal,Individual Literal,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/BlankNode,https://kg-construct.github.io/rml-core/ontology/documentation/index-en.html#http://w3id.org/rml/BlankNode,Individual BlankNode,,,,,,,,,,,,,,,,,,,,,
IO,,,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/io,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html,IO ontology documentation,"Redirect to the ontology documentation for RML Source and Target if HTML, return ontology if Turtle",,,,,,,,,,,,,,,,,,,,
w3id.org/rml/io/bc,https://kg-construct.github.io/rml-io/ontology/rml-io-bc.ttl,Backwards compatibility ontology,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/io/spec,https://kg-construct.github.io/rml-io/spec/docs,IO spec,Redirect to the human readable spec of RML Source and Target,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/io/shapes,https://kg-construct.github.io/rml-io/shapes/io.ttl,IO SHACL shapes,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/source,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/source,Property source,Redirect to the ontology documentation of the RML Source and Target specification with the fragment matching the resource requested.,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/target,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/target,Property target,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/encoding,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/encoding,Property encoding,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/compression,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/compression,Property compression,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/serialization,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/serialization,Property serialization,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/null,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/null,Property null,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/query,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/query,Property query,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/referenceFormulation,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/referenceFormulation,Property referenceFormulation,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/iterator,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/iterator,Property iterator,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/LogicalSource,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/LogicalSource,Resource LogicalSource,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/LogicalTarget,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/LogicalTarget,Resource LogicalTarget,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/Source,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/Source,Resource Source,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/Target,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/Target,Resource Target,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/JSONPath,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/JSONPath,JSONPath individual,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/XPath,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/XPath,XPath individual,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/XPathReferenceFormulation,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/XPathReferenceFormulation,XPathReferenceFormulation individual,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/CSV,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/CSV,CSV individual,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/SQL2008,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/SQL2008,SQL2008 individual,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/UTF-8,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/UTF-8,UTF-8 individual,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/UTF-16,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/UTF-16,UTF-16 individual,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/none,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/none,none individual,,,,,,,,,,,,,,,,,,,,,
w3id.org/rml/gzip,https://kg-construct.github.io/rml-io/ontology/documentation/index-en.html#http://w3id.org/rml/gzip,gzip individual,,,,,,,,,,,,,,,,,,,,,
